index,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,Y
1,20000,20000,20000,60,12.29,447.83,C,C1,Director ,6 years,MORTGAGE,250000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60771589,,debt_consolidation,Debt consolidation,664xx,KS,12.36,0,Feb.93,1,,,20,0,36521,50.4,43,w,16914.05,16914.05,5360.3,5360.3,3085.95,2274.35,0,0,0,16.Oct,447.83,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,458093,,,,,,,,,,,,72400,,,,8,25450,14212,51.3,0,0,125,271,8,3,4,8,,0,,0,3,7,5,11,13,15,26,7,20,0,0,0,4,100,40,0,0,525733,88363,29200,73714,0
6,6000,6000,6000,36,13.99,205.04,C,C4,Team Lead,10+ years,MORTGAGE,30000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=61016609,,debt_consolidation,Debt consolidation,146xx,NY,25.28,0,9.Nov,1,,,10,0,12113,51.1,17,f,3792.63,3792.63,2895.04,2895.04,2207.37,687.67,0,0,0,16.Oct,205.04,16.Nov,16.Oct,0,,1,INDIVIDUAL,,,,0,0,103108,,,,,,,,,,,,23700,,,,5,10311,8216,58.3,0,0,56,70,9,9,1,9,,2,,0,3,5,5,7,3,8,13,5,10,0,0,0,3,100,40,0,0,117932,29181,19700,18962,0
8,20000,20000,20000,36,9.99,645.25,B,B3,Assembly,5 years,MORTGAGE,46000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60782745,,debt_consolidation,Debt consolidation,397xx,MS,10.17,1,Dec.94,1,20,,8,0,8598,37.4,21,f,13984.51,13984.51,7731.9,7731.9,6015.49,1716.41,0,0,0,16.Oct,645.25,16.Oct,16.Oct,0,20,1,INDIVIDUAL,,,,0,800,15420,,,,,,,,,,,,23000,,,,3,1928,8885,40.8,0,0,249,132,4,4,0,15,,4,,1,3,7,3,8,8,7,13,7,8,0,0,1,1,95.2,0,0,0,32902,15420,15000,9902,0
9,25000,25000,25000,60,7.89,505.6,A,A5,Software Developer,10+ years,MORTGAGE,110000,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60823020,,credit_card,Credit card refinancing,440xx,OH,8.62,0,Jun.97,0,,,15,0,35849,34,22,w,20753.93,20753.93,6056.24,6056.24,4246.07,1810.17,0,0,0,16.Oct,505.6,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,241293,,,,,,,,,,,,105500,,,,4,16086,36071,43.7,0,0,74,219,6,6,4,6,,11,,0,6,12,6,8,1,14,17,12,15,0,0,0,4,100,16.7,0,0,313500,35849,64100,0,0
11,4200,4200,4200,36,14.65,144.88,C,C5,,n/a,RENT,13000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60972607,,credit_card,Credit card refinancing,850xx,AZ,35.27,0,11.May,2,,,6,0,5666,48.8,8,f,2998.17,2998.17,1740.26,1740.26,1201.83,538.43,0,0,0,16.Oct,144.88,16.Nov,16.Oct,0,,1,INDIVIDUAL,,,,0,0,11348,,,,,,,,,,,,11600,,,,5,1891,4156,56.7,0,0,16,52,16,16,0,16,,1,,0,3,4,3,4,1,5,7,4,6,0,0,0,0,100,0,0,0,18174,11348,9600,6574,0
12,4000,4000,4000,36,12.29,133.42,C,C1,Production Painter,1 year,RENT,16400,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60982586,,debt_consolidation,Debt consolidation,973xx,OR,38.73,7,5.Jul,0,18,,14,0,8339,67.2,23,f,0,0,581.02,581.02,0,0,0,581.02,104.5836,,0,,16.Oct,0,19,1,INDIVIDUAL,,,,0,0,39380,,,,,,,,,,,,12400,,,,2,3282,861,90.6,0,0,120,122,21,21,0,73,,,18,6,2,2,2,3,14,7,9,2,14,0,0,6,0,63.6,100,0,0,38725,39380,9200,26325,1
13,7000,7000,7000,36,13.99,239.21,C,C4,facility operator,2 years,RENT,78000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60802603,,other,Other,585xx,ND,21.62,1,11.Sep,0,10,,8,0,5695,80.2,20,f,5648.2,5648.2,2158.24,2158.24,1351.8,806.44,0,0,0,16.Oct,250,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,59105,,,,,,,,,,,,7100,,,,8,7388,305,94.9,0,0,46,48,15,5,0,23,,12,10,0,2,2,3,3,13,4,7,2,8,0,0,0,3,95,66.7,0,0,68213,59105,6000,61113,1
16,12000,12000,12000,36,12.29,400.24,C,C1,Security Hospital Treatment Aide,10+ years,RENT,80000,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60812861,,credit_card,Credit card refinancing,100xx,NY,9.69,0,6.May,0,,78,12,1,8105,48.5,16,f,8477.9,8477.9,4794.69,4794.69,3522.1,1272.59,0,0,0,16.Oct,400.24,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,14015,,,,,,,,,,,,16700,,,,7,1274,2572,72,0,0,112,87,12,12,0,13,,11,,0,3,6,3,5,3,11,13,6,12,0,0,0,1,100,66.7,1,0,28224,14015,9200,11524,0
20,6800,6800,6800,36,13.99,232.38,C,C4,Advanced Repair Agent,3 years,RENT,33000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60750212,,debt_consolidation,Debt consolidation,234xx,VA,22.22,0,6.May,0,,,19,0,13888,77.2,24,f,4840.25,4840.25,2783.27,2783.27,1959.75,823.52,0,0,0,16.Oct,232.38,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,60391,,,,,,,,,,,,18000,,,,6,3178,470,90.6,0,0,95,112,3,3,0,16,,10,,0,1,6,1,2,15,6,9,6,19,0,0,0,4,100,100,0,0,62386,60391,5000,44386,0
23,7200,7200,7200,36,8.18,226.23,B,B1,Sheriff's Detective,10+ years,MORTGAGE,105000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=61016539,,debt_consolidation,Debt consolidation,956xx,CA,6.8,1,Jun.98,1,8,,12,0,9094,31.4,28,f,4992.66,4992.66,2711.49,2711.49,2207.34,504.15,0,0,0,16.Oct,226.23,16.Oct,16.Oct,0,63,1,INDIVIDUAL,,,,0,1257,400477,,,,,,,,,,,,29000,,,,7,33373,6269,56.8,0,0,152,207,14,5,6,27,,6,,2,2,3,3,7,5,8,16,3,12,0,0,0,1,89.3,66.7,0,0,454430,22492,14500,40902,0
24,10000,10000,10000,36,13.99,341.73,C,C4,cook,10+ years,RENT,390000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60647806,,debt_consolidation,Debt consolidation,064xx,CT,2.52,0,Jan.85,2,,,21,0,10258,28,25,f,7118.09,7118.09,4092.99,4092.99,2881.91,1211.08,0,0,0,16.Oct,341.73,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,32491,,,,,,,,,,,,36700,,,,13,1547,12930,37.8,0,0,218,368,3,3,0,3,,3,,0,9,11,10,11,4,19,21,11,21,0,0,0,5,100,10,0,0,60930,32491,20800,24230,0
25,16000,16000,16000,36,8.18,502.72,B,B1,Assistant Director of Admissions,9 years,RENT,72000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60872588,,debt_consolidation,Debt consolidation,805xx,CO,11.58,0,Jun.96,1,62,,13,0,9612,30.1,35,f,0,0,16456.31,16456.31,16000,456.31,0,0,0,16.Mar,8382.82,,16.Feb,0,62,1,INDIVIDUAL,,,,0,0,40825,,,,,,,,,,,,31900,,,,10,3402,8411,49.3,0,0,130,231,1,1,2,1,,2,,1,4,8,5,11,8,9,25,8,13,0,0,0,5,97.1,50,0,0,70347,40825,16600,38447,0
27,10000,10000,10000,36,6.89,308.27,A,A3,Associate Telecomm Engineer,10+ years,OWN,107000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60820916,,other,Other,957xx,CA,1.76,0,Sep.92,0,46,,10,0,7328,12.6,27,f,0,0,10302.56,10302.56,10000,302.56,0,0,0,16.Jun,748.5,,16.Oct,0,,1,INDIVIDUAL,,,,0,0,7328,,,,,,,,,,,,87000,,,,1,733,54799,26.4,0,0,142,276,0,0,1,40,46,19,46,0,3,4,5,11,3,10,22,4,10,0,0,0,1,96.2,0,0,0,87000,7328,62000,0,0
28,10000,10000,10000,36,12.29,333.53,C,C1,Financial Advisor,4 years,RENT,58000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60872732,,debt_consolidation,Debt consolidation,606xx,IL,13.14,0,8.Nov,2,,,7,0,12307,48.6,17,w,7064.97,7064.97,4005.53,4005.53,2935.03,1070.5,0,0,0,16.Oct,333.53,16.Nov,16.Oct,0,,1,INDIVIDUAL,,,,0,0,38494,,,,,,,,,,,,34800,,,,2,5499,19661,42.9,0,0,73,82,2,2,0,2,,2,,0,2,3,4,4,11,5,6,3,7,0,0,0,1,100,50,0,0,65010,38494,27300,30210,0
30,12000,12000,12000,36,14.65,413.94,C,C5,Technician,10+ years,RENT,70000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60586846,,debt_consolidation,Debt consolidation,270xx,NC,20.73,0,Nov.96,1,70,,7,0,3940,56.3,18,f,8566.22,8566.22,4890.91,4890.91,3433.78,1457.13,0,0,0,16.Sep,413.94,16.Nov,16.Oct,0,,1,INDIVIDUAL,,,,0,0,57177,,,,,,,,,,,,7000,,,,8,8168,60,98.5,0,0,226,32,13,2,0,31,,5,,0,1,1,1,1,13,4,5,1,7,0,0,0,2,94.4,100,0,0,66455,57177,4000,59455,0
31,16075,16075,16075,36,10.99,526.2,B,B4,President,10+ years,MORTGAGE,67000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60913190,,credit_card,Credit card refinancing,530xx,WI,24.31,0,Sep.70,1,70,38,10,5,21943,65.7,16,f,11291.03,11291.03,6304.59,6304.59,4783.97,1520.62,0,0,0,16.Oct,526.2,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,332355,,,,,,,,,,,,33400,,,,2,36928,10257,68.1,0,0,99,540,38,8,3,97,,1,,1,5,5,5,7,2,7,10,5,10,0,0,0,2,87.5,60,0,5,352019,40726,32200,24000,0
32,28000,28000,28000,36,5.32,843.22,A,A1,SOFTWARE ENGINEER,2 years,MORTGAGE,160000,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60545652,,home_improvement,Home improvement,805xx,CO,10.21,0,Sep.94,1,,,9,0,31296,37.7,22,w,19157.41,19157.41,10110.36,10110.36,8842.59,1267.77,0,0,0,16.Oct,843.22,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,514340,,,,,,,,,,,,83000,,,,1,57149,51704,37.7,0,0,252,234,8,8,6,8,,0,,0,5,5,5,7,7,5,9,5,9,0,0,0,1,100,0,0,0,629633,39264,83000,25033,0
34,32000,32000,31950,60,13.99,744.42,C,C4,Associate,2 years,MORTGAGE,263500,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60802586,,credit_card,Credit card refinancing,770xx,TX,12.6,2,Nov.94,0,5,,5,0,11694,44.5,8,f,27246.62,27204.05,8918.92,8904.98,4753.38,4165.54,0,0,0,16.Oct,755.17,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,488935,,,,,,,,,,,,26300,,,,4,97787,14606,44.5,0,0,44,250,6,6,1,6,,12,14,0,2,2,2,3,2,2,4,2,5,0,0,0,2,75,50,0,0,531672,76733,26300,39511,0
36,5000,5000,5000,36,12.29,166.77,C,C1,Project Manager,8 years,MORTGAGE,100000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60802595,,home_improvement,Home improvement,123xx,NY,21.64,0,1.Aug,0,,,9,0,43527,92.2,22,f,3532.42,3532.42,1997.83,1997.83,1467.58,530.25,0,0,0,16.Oct,166.77,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,224167,,,,,,,,,,,,47200,,,,2,24907,1539,94,0,0,169,106,45,13,2,45,,,,0,2,4,3,4,13,5,7,4,9,0,0,0,0,100,66.7,0,0,277744,63636,25700,33089,0
39,11500,11500,11500,36,11.53,379.39,B,B5,Server,2 years,OWN,23000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60972583,,debt_consolidation,Debt consolidation,603xx,IL,34.34,0,Aug.94,0,,,13,0,13402,21.4,19,f,8097.17,8097.17,4545.31,4545.31,3402.83,1142.48,0,0,0,16.Oct,379.39,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,24772,,,,,,,,,,,,62700,,,,4,2064,45714,22.6,0,0,26,253,8,8,0,8,,,,0,5,6,7,11,1,12,18,6,13,0,0,0,1,100,0,0,0,79874,24772,59100,17174,0
40,10000,10000,10000,36,8.18,314.2,B,B1,Executive Producer,10+ years,MORTGAGE,235000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60395788,,debt_consolidation,Debt consolidation,190xx,PA,21.78,0,May.87,0,,,23,0,53404,72,44,f,0,0,10347.26,10347.26,10000,347.26,0,0,0,16.Mar,9095,,16.Oct,0,,1,INDIVIDUAL,,,,0,0,428694,,,,,,,,,,,,74155,,,,5,18638,6081,76,0,0,177,340,22,5,4,26,,4,,0,10,16,17,17,10,16,31,15,23,,0,0,1,100,70,0,0,495356,176483,60805,131348,0
41,20000,20000,20000,36,10.99,654.68,B,B4,Police Officer,8 years,MORTGAGE,118000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60972578,,debt_consolidation,Debt consolidation,117xx,NY,9.38,0,5.Aug,0,59,,9,0,4278,49.2,17,f,0,0,21015.85,21015.85,20000,1015.85,0,0,0,16.Mar,18409.34,,16.Oct,0,59,1,INDIVIDUAL,,,,0,1597,305607,,,,,,,,,,,,8700,,,,5,50935,1422,75.1,0,0,78,121,23,1,1,32,59,,59,1,1,1,4,6,9,5,7,1,9,0,0,0,1,94.1,100,0,0,348341,34175,5700,37500,0
42,20000,20000,20000,60,13.99,465.27,C,C4,,n/a,MORTGAGE,53679,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60792657,,other,Other,953xx,CA,28.95,1,Sep.78,0,19,,10,0,5041,53.6,17,w,17029.04,17029.04,5567.7,5567.7,2970.96,2596.74,0,0,0,16.Oct,465.27,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,28815,,,,,,,,,,,,9400,,,,3,2882,2232,61.5,0,0,142,444,6,6,0,54,26,,26,0,3,6,3,6,6,7,11,6,10,0,0,0,2,82.4,0,0,0,48056,28815,5800,38656,0
44,5600,5600,5600,36,12.69,187.86,C,C2,Truck Driver,10+ years,MORTGAGE,70000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=61016578,,debt_consolidation,Debt consolidation,317xx,GA,2.62,0,3.Jun,0,,,4,0,3659,39.8,25,f,0,0,6088.12,6088.12,5600,488.12,0,0,0,16.Jul,4589.19,,16.Oct,0,,1,INDIVIDUAL,,,,0,0,3659,,,,,,,,,,,,9200,,,,0,915,0,104.5,0,0,147,133,64,64,3,78,,4,,0,2,2,2,6,8,4,14,2,4,0,0,0,0,100,100,0,0,9200,3659,3500,0,0
